row_id,lat_deg,lon_deg,report_date,status_id,water_source,water_tech,facility_type,country_name,install_year,installer,pay,status
84096,6.547385000000001,-10.353888333333334,05/31/2017,y,Protected Shallow Well,Hand Pump - Afridev,Improved,Liberia,,NGO,No payment – its free,Functional (and in use)
571616,8.78599628001575,-0.049085455368441,09/02/2014,y,Borehole,Hand Pump - Afridev,Improved,Ghana,2011.0,,They do not pay,Not applicable (no downtime over the last year)
6204,2.44445108,31.11520358,08/01/2013,y,Protected Spring,,Improved,Uganda,2013.0,,Water Committee Collects Fees,Functional
398127,12.295187,9.8667833,01/15/2015,y,Borehole,Hand Pump,Improved,Nigeria,,,No,Functional (and in use)
576858,2.75963784,31.16837479,04/27/2010,y,Undefined Shallow Well,,Unknown,Uganda,2005.0,,Water Committee Collects Fees,Functional
522521,8.4640217,4.972105,08/28/2015,n,Borehole,Hand Pump,Improved,Nigeria,,,No,Non-functional uncompleted project
522604,8.2203241,5.2968001,08/16/2015,y,Borehole,Hand Pump,Improved,Nigeria,2014.0,,No,Functional (and in use)
1462,5.609261990332365,-1.545829891093657,05/08/2015,y,Borehole,Hand Pump - India Mark,Improved,Ghana,2008.0,,They do not pay,
12590,-18.35325894,28.19889272,04/09/2016,u,Surface Water (River/Stream/Lake/Pond/Dam),Rope and Bucket,No facilities,Zimbabwe,1964.0,,,
16975,-20.81642647,30.86224647,04/09/2016,y,Borehole,Hand Pump,Improved,Zimbabwe,1995.0,,,Partially Functional
144752,0.81756314,33.21613464,06/25/2010,y,Undefined Shallow Well,,Unknown,Uganda,2004.0,,Water Committee Collects Fees,Functional
200327,-1.17099847,29.94758122,04/20/2010,y,,Tapstand,,Uganda,1993.0,,,Functional
311147,-1.74204,29.963256666666663,08/07/2015,u,Unprotected Spring,,Unimproved,Rwanda,,,,
76503,1.59878474,33.56963813,05/25/2010,y,Rainwater Harvesting,,Improved,Uganda,1995.0,,Water Committee Collects Fees,Functional
134827,0.41847162,34.08197732,05/26/2010,y,Borehole,,Improved,Uganda,2009.0,,,Functional
575418,8.82728990636951,-0.016600193676046,09/08/2014,n,Borehole,Hand Pump - Nira,Improved,Ghana,1988.0,,They do not pay,No funds
498084,6.872624,-8.85556,02/03/2011,y,Protected Shallow Well,Hand Pump - Afridev,Improved,Liberia,2006.0,EQUIP,,Working and protected Not damaged
326636,-2.713041,28.778727,02/02/2014,y,,,,Congo - Kinshasa,,,,Mauvais
42988,9.246317,27.478167,02/07/2005,y,Borehole,,Improved,South Sudan,,TEARFUND,,operational
522043,0.978873512,34.20693876,05/30/2014,u,Protected Spring,,Improved,Uganda,,,,
102099,-0.80726099,37.405735,07/26/2012,y,Rainwater Harvesting,Tapstand,Improved,Kenya,2003.0,,no payment,Functional and in use
570114,10.0935548181897,0.268334868740348,10/15/2014,y,Borehole,Hand Pump - Afridev,Improved,Ghana,2013.0,,Only when there is a breakdown,Time to get spare parts
147145,0.88415295,34.25109304,04/26/2010,y,Protected Spring,,Improved,Uganda,2004.0,,Water Committee Collects Fees,Functional
61228,-0.083556666666667,30.40544166666667,03/14/2017,y,Protected Shallow Well,,Improved,Uganda,2010.0,,,Normal
145698,1.37690507,34.40904185,04/16/2010,y,,Tapstand,,Uganda,2008.0,,,Functional
249893,-27.109523794875,31.1372469683311,02/07/2015,n,Borehole,Tapstand,Improved,Swaziland,1995.0,,0,broken pump
73439,2.98531798,34.0498133,06/08/2010,y,Borehole,,Improved,Uganda,2007.0,,Water Committee Collects Fees,Functional
147895,0.52459712,33.37342123,05/11/2010,y,Borehole,,Improved,Uganda,1999.0,,Water Committee Collects Fees,Functional
205247,-0.37396053,31.0528534,04/21/2010,y,Rainwater Harvesting,,Improved,Uganda,,,,Functional
566177,2.08091197,32.69604163,11/23/2014,y,Borehole,,Improved,Uganda,2014.0,lifeline,There is a tarrif of 1000 paid Per Month,"Improved source, Water is available, Water point has a problem"
406686,9.8577215,6.7119332,02/07/2015,y,Protected Spring,Hand Pump,Improved,Nigeria,2014.0,,No,Functional (and in use)
405740,12.65577,8.4111417,01/10/2015,y,Borehole,Mechanized Pump,Improved,Nigeria,2011.0,,No,Functional (and in use)
225059,9.23783806,-12.80116541,09/12/2016,y,Protected Shallow Well,Hand Pump - India Mark,Improved,Sierra Leone,1992.0,Action Aid,No payment – its free,Functional (but not in use) No Damages
367810,6.10747604885184,-2.362200894600706,03/11/2015,y,Borehole,Hand Pump - Afridev,Improved,Ghana,2014.0,,Only when there is a breakdown,
413619,7.4067695,3.9363719,01/11/2015,y,Borehole,Hand Pump,Improved,Nigeria,,,No,Functional (and in use)
97023,6.35365336,-10.69870718,05/31/2017,y,Protected Shallow Well,Hand Pump - Afridev,Improved,Liberia,,Private,No payment – its free,Functional (and in use)
122277,-6.82817794,37.67459787,09/11/2007,y,Surface Water (River/Stream/Lake/Pond/Dam),Tapstand,No facilities,Tanzania,,MUROWASA,Pay monthly,"Enough Water Quantity,  highl pressure,toilet has no water"
147634,0.92348784,34.282835,09/05/2011,y,Protected Spring,,Improved,Uganda,2011.0,,,Functional
273373,11.5682,37.735653,01/01/2021,y,Undefined Shallow Well,,Unknown,Ethiopia,2004.0,,,
442018,11.002232,7.8784873,10/26/2015,n,Borehole,Hand Pump,Improved,Nigeria,,,Yes At breakdown,Non-functional Technical breakdown
2480,5.830594098498685,-1.227119445806048,11/20/2014,y,Borehole,Hand Pump - India Mark,Improved,Ghana,2007.0,,Only when there is a breakdown,
233472,-26.2491946363021,31.1210911819206,02/15/2014,y,Surface Water (River/Stream/Lake/Pond/Dam),Tapstand,No facilities,Swaziland,2011.0,,30,
2040,5.310580693207257,-1.144192580358581,11/01/2014,y,Borehole,Hand Pump - India Mark,Improved,Ghana,2011.0,,Only when there is a breakdown,
425881,6.71605,6.3277167,05/27/2015,y,Borehole,Mechanized Pump,Improved,Nigeria,,,No,Functional (and in use)
273702,-19.23435,33.39722,07/22/2020,y,Borehole,Hand Pump - Afridev,Improved,Mozambique,2020.0,,,
539826,0.877968633,34.38525936,10/19/2013,y,Protected Spring,,Improved,Uganda,,,,
124397,-2.532192047,33.48903587,03/10/2008,y,Protected Shallow Well,Hand Pump - Nira,Improved,Tanzania,1997.0,HESAWA,Not recorded,"Enough Water Quantity,"
263994,7.85535995,-11.19921406,11/25/2016,y,Protected Shallow Well,Rope and Bucket,Improved,Sierra Leone,2000.0,Private,No payment – its free,Functional (and in use) No Damages
141467,-5.340907078,29.786050276,10/08/2008,y,Surface Water (River/Stream/Lake/Pond/Dam),Hand Pump - Vergnet,No facilities,Tanzania,2005.0,Local government,Per month 200,Functional
260039,7.712208871229923,-11.6906273160519,08/27/2016,y,,Rope and Bucket,,Sierra Leone,2001.0,,No payment – its free,Functional (and in use) Damaged Well|Damaged Concrete
342285,7.64328333333,-11.1847,12/31/2010,n,Unprotected Shallow Well,,Unimproved,Sierra Leone,,NaCSA,,Functional
227717,-25.7651222874948,31.4127425343366,01/24/2014,y,Surface Water (River/Stream/Lake/Pond/Dam),Tapstand,No facilities,Swaziland,2001.0,,0,
431301,7.9103067,4.8057483,05/04/2015,n,Borehole,Mechanized Pump,Improved,Nigeria,2011.0,,No,Non-functional Technical breakdown
270954,11.514607,37.646251,04/06/2020,y,,Hand Pump,,Ethiopia,1997.0,Community managed project/CMP/,,
448650,10.169015,8.5823383,10/24/2015,y,Borehole,Hand Pump,Improved,Nigeria,,,No,Functional (and in use)
154164,0.19012922,32.95132752,04/23/2010,n,Undefined Shallow Well,,Unknown,Uganda,2004.0,,,Non-Functional
